Date;Closing_rate;Change;Turnover;Transactions
06.07.2000;20,7;-0,014388737;870298;1379
07.07.2000;20,7;0;2434910;3120
10.07.2000;20,6;-0,004842624;1451396;1793
11.07.2000;20,2;-0,019608471;1463762;1762
12.07.2000;20,4;0,009852296;1119567;1486
13.07.2000;20,8;0,019418086;1450327;1433
14.07.2000;20,8;0;1139788;1200
17.07.2000;21,2;0,019048195;1748186;1454
18.07.2000;21,8;0,027908788;1500349;2019
19.07.2000;21,9;0,004576667;788178;1492
20.07.2000;21,6;-0,013793322;946868;1091
21.07.2000;21,6;0;418961;967
24.07.2000;21,6;0;434791;789
25.07.2000;21,8;0,009216655;871858;996
26.07.2000;21,7;-0,004597709;682613;1052
27.07.2000;21,2;-0,023311079;785453;954
28.07.2000;21,1;-0,004728141;531464;787
31.07.2000;20,8;-0,014320054;939699;773
01.08.2000;20,3;-0,024332101;565666;857
02.08.2000;20,7;0,019512814;641594;818
03.08.2000;20,7;0;565994;704
04.08.2000;20,7;0;248386;544
07.08.2000;20,5;-0,009708814;241989;549
08.08.2000;20,5;0;476012;709
09.08.2000;20,6;0,00486619;360870;693
10.08.2000;20,6;0;397636;553
11.08.2000;20,3;-0,01467019;312043;538
14.08.2000;20,3;0;208894;541
16.08.2000;20,5;0,009804;477373;702
17.08.2000;20,1;-0,019705071;449930;638
18.08.2000;19,75;-0,017566324;640698;1072
21.08.2000;19,6;-0,007623925;650392;857
22.08.2000;19,65;0,002547772;365438;759
23.08.2000;19,7;0,002541297;475895;719
24.08.2000;20,1;0,020101179;680108;851
25.08.2000;20,9;0,039029344;907533;1049
28.08.2000;20,2;-0,034066555;291950;655
29.08.2000;20,1;-0,004962789;351131;609
30.08.2000;20,3;0,009901071;829285;880
31.08.2000;20,3;0;374150;538
01.09.2000;20,4;0,004914015;889585;714
04.09.2000;20,4;0;662411;864
05.09.2000;20,7;0,014598799;1637381;1084
06.09.2000;20,6;-0,004842624;512188;671
07.09.2000;20,3;-0,01467019;381984;542
08.09.2000;20,1;-0,009901071;360560;595
11.09.2000;19,8;-0,015037877;299888;469
12.09.2000;20,2;0,020000667;610510;643
13.09.2000;20;-0,009950331;752376;722
14.09.2000;20,4;0,019802627;459229;620
15.09.2000;20,1;-0,014815086;341820;154
18.09.2000;20,1;0;351669;493
19.09.2000;19,65;-0,022642477;811720;805
20.09.2000;19,65;0;423294;481
21.09.2000;18,9;-0,038915416;1148714;912
22.09.2000;18,3;-0,032260862;620823;1003
25.09.2000;18,45;0,008163311;308761;566
26.09.2000;17,9;-0,030263658;527104;758
27.09.2000;17,65;-0,014064929;689691;827
28.09.2000;17,6;-0,002836881;593078;853
29.09.2000;18;0,022472856;1052526;937
02.10.2000;17,75;-0,013986242;267069;498
03.10.2000;17,65;-0,005649733;291654;487
04.10.2000;17,3;-0,020029282;256055;536
05.10.2000;17,65;0,020029282;485632;586
06.10.2000;17,6;-0,002836881;394969;488
09.10.2000;17,15;-0,025900728;423850;558
10.10.2000;17,05;-0,00584797;393843;676
11.10.2000;16,6;-0,026747508;738236;1034
12.10.2000;16,5;-0,006042314;714456;936
13.10.2000;15,65;-0,052889464;1105344;1258
16.10.2000;16,45;0,04985456;632600;900
17.10.2000;16,95;0,029942357;1174062;1062
18.10.2000;16,6;-0,020865138;2042591;1206
19.10.2000;17,5;0,052798186;729655;750
20.10.2000;17,9;0,022599832;741079;784
23.10.2000;17,8;-0,005602256;994027;739
24.10.2000;18,05;0,013947227;765882;797
25.10.2000;18,2;0,008275909;1168181;861
26.10.2000;17,9;-0,016620881;485420;677
27.10.2000;17,9;0;320122;472
30.10.2000;17,65;-0,014064929;303189;470
