"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2010","DE801","Number","ICCS0101","1",""
"2010","DE802","Number","ICCS0101","0",""
"2010","DE803","Number","ICCS0101","3",""
"2010","DE804","Number","ICCS0101","2",""
"2010","DE805","Number","ICCS0101","0",""
"2010","DE806","Number","ICCS0101","0",""
"2010","DE807","Number","ICCS0101","1",""
"2010","DE808","Number","ICCS0101","1",""
"2010","DE809","Number","ICCS0101","0",""
"2010","DE80A","Number","ICCS0101","0",""
"2010","DE80B","Number","ICCS0101","0",""
"2010","DE80C","Number","ICCS0101","1",""
"2010","DE80D","Number","ICCS0101","0",""
"2010","DE80E","Number","ICCS0101","0",""
"2010","DE80F","Number","ICCS0101","1",""
"2010","DE80G","Number","ICCS0101","0",""
"2010","DE80H","Number","ICCS0101","0",""
"2010","DE80I","Number","ICCS0101","0",""
"2010","DE9","Number","ICCS0101","78",""
"2010","DE911","Number","ICCS0101","1",""
"2010","DE912","Number","ICCS0101","0",""
"2010","DE913","Number","ICCS0101","0",""
"2010","DE914","Number","ICCS0101","3",""
"2010","DE915","Number","ICCS0101","2",""
"2010","DE916","Number","ICCS0101","0",""
"2010","DE917","Number","ICCS0101","1",""
"2010","DE918","Number","ICCS0101","0",""
"2010","DE919","Number","ICCS0101","0",""
"2010","DE91A","Number","ICCS0101","1",""
"2010","DE91B","Number","ICCS0101","0",""
"2010","DE922","Number","ICCS0101","1",""
"2010","DE923","Number","ICCS0101","0",""
"2010","DE925","Number","ICCS0101","3",""
"2010","DE926","Number","ICCS0101","1",""
"2010","DE927","Number","ICCS0101","1",""
"2010","DE928","Number","ICCS0101","4",""
"2010","DE929","Number","ICCS0101","9",""
"2010","DE931","Number","ICCS0101","0",""
"2010","DE932","Number","ICCS0101","4",""
"2010","DE933","Number","ICCS0101","1",""
"2010","DE934","Number","ICCS0101","0",""
"2010","DE935","Number","ICCS0101","2",""
"2010","DE936","Number","ICCS0101","0",""
"2010","DE937","Number","ICCS0101","0",""
"2010","DE938","Number","ICCS0101","3",""
"2010","DE939","Number","ICCS0101","0",""
"2010","DE93A","Number","ICCS0101","1",""
"2010","DE93B","Number","ICCS0101","2",""
"2010","DE941","Number","ICCS0101","0",""
"2010","DE942","Number","ICCS0101","0",""
"2010","DE943","Number","ICCS0101","0",""
"2010","DE944","Number","ICCS0101","5",""
