kod;nazwa;bezrobocie;produkcja;wynagrodzenie;liczba_ludnosci
2475;Powiat m.Sosnowiec;13,2;20577;3624,37;205873
2476;Powiat m.Œwiêtoch³owice;14,7;7418;3145,07;50644
2477;Powiat m.Tychy;5,1;91772;3819,32;128351
2478;Powiat m.Zabrze;12,5;31467;3835,4;175459
2479;Powiat m.¯ory;9,8;0;3534,18;62013
2601;Powiat buski;8,0;3594;3158,01;72779
2602;Powiat jêdrzejowski;13,3;19339;3811,9;86886
2603;Powiat kazimierski;12,4;1274;3055,63;34273
2604;Powiat kielecki;16,6;9101;3095,16;208977
2605;Powiat konecki;20,2;19448;3260,47;81902
2606;Powiat opatowski;20,9;2965;3154,31;53361
2607;Powiat ostrowiecki;19,1;31732;3225,91;111984
2608;Powiat piñczowski;9,5;9928;3246,61;39838
2609;Powiat sandomierski;11,3;26323;3526,06;78858
2610;Powiat skar¿yski;24,8;9124;3395,64;76384
2611;Powiat starachowicki;14,8;14658;3199,99;91449
2612;Powiat staszowski;11,3;49765;3589,54;72797
2613;Powiat w³oszczowski;12,7;30776;3382,92;45708
2661;Powiat m.Kielce;9,8;16881;3669,64;197704
2801;Powiat bartoszycki;27,7;3421;3269,83;58884
2802;Powiat braniewski;29,0;3258;3208,18;41954
2803;Powiat dzia³dowski;23,3;13248;3045,94;66011
2804;Powiat elbl¹ski;26,0;15678;3113,02;58094
2805;Powiat e³cki;22,3;12925;3164,08;90584
2806;Powiat gi¿ycki;17,2;15564;3273,35;57141
2807;Powiat i³awski;8,9;18566;3026,1;92791
2808;Powiat kêtrzyñski;30,1;4492;3034,16;63969
2809;Powiat lidzbarski;24,8;6446;3105,88;42039
2810;Powiat mr¹gowski;19,6;11213;3037,05;50507
2811;Powiat nidzicki;17,7;10894;2976,78;33432
2812;Powiat nowomiejski;19,3;12548;2938,87;44166
2813;Powiat olecki;20,7;15045;3251,89;34609
2814;Powiat olsztyñski;19,9;24876;3370,1;124205
2815;Powiat ostródzki;20,4;53402;3122,59;105607
2816;Powiat piski;29,2;5604;3271,93;57295
2817;Powiat szczycieñski;22,2;6174;3412,21;70466
2818;Powiat go³dapski;20,9;12513;2956,47;27151
2819;Powiat wêgorzewski;27,7;1692;2983,79;23278
2861;Powiat m.Elbl¹g;15,3;13239;3620,55;121191
2862;Powiat m.Olsztyn;6,8;37757;3954,4;172993
3001;Powiat chodzieski;13,8;28120;3303,09;47415
3002;Powiat czarnkowsko-trzcianecki;11,8;27796;3410,14;87885
3003;Powiat gnieŸnieñski;12,3;18854;3253,35;145211
3004;Powiat gostyñski;10,5;42554;3282,64;76093
3005;Powiat grodziski;7,5;42414;2976,94;51423
3006;Powiat jarociñski;10,6;29749;2803,8;71738
3007;Powiat kaliski;6,8;25320;3007,45;82905
3008;Powiat kêpiñski;3,4;51062;2544,18;56458
3009;Powiat kolski;14,5;21899;3624,38;88125
3010;Powiat koniñski;17,0;10293;3328,35;129475
3011;Powiat koœciañski;6,7;17091;3257,11;79263
3012;Powiat krotoszyñski;8,4;30902;2849,87;77764
3013;Powiat leszczyñski;6,3;48103;3678,43;55391
3014;Powiat miêdzychodzki;8,4;9936;3172,75;37080
3015;Powiat nowotomyski;4,6;38821;3466,29;74901
3016;Powiat obornicki;8,8;44592;3595,79;59626
3017;Powiat ostrowski;7,8;32055;3212,43;161574
3018;Powiat ostrzeszowski;8,9;28389;3193,68;55391
3019;Powiat pilski;10,0;46896;3635,85;137382
3020;Powiat pleszewski;9,6;20412;3190,51;63212
3021;Powiat poznañski;3,4;57461;3520,37;373570
3022;Powiat rawicki;9,2;17173;2920,61;60356
3023;Powiat s³upecki;14,7;14714;3093,66;59617
3024;Powiat szamotulski;6,7;73938;3817,63;90417
3025;Powiat œredzki;12,1;25800;3466,94;57691
3026;Powiat œremski;7,0;18730;3108,41;61106
3027;Powiat turecki;9,0;30699;3025;84297
3028;Powiat w¹growiecki;15,5;15309;3135,77;69960
3029;Powiat wolsztyñski;4,7;30649;3013,55;57270
3030;Powiat wrzesiñski;12,7;42572;3264,85;77073
3031;Powiat z³otowski;14,3;10599;3019,42;69834
3061;Powiat m.Kalisz;6,8;23288;3395,84;102249
3062;Powiat m.Konin;12,4;34355;3653,29;75342
3063;Powiat m.Leszno;6,7;27958;3362,89;64159
3064;Powiat m.Poznañ;3,1;64012;4354,4;540372
3201;Powiat bia³ogardzki;27,3;16455;3340,94;48254
3202;Powiat choszczeñski;24,8;5195;3305,47;49220
3203;Powiat drawski;23,5;12151;2999,87;57979
3204;Powiat goleniowski;10,7;77853;3511,95;82474
3205;Powiat gryficki;23,6;4245;3057,57;61160
3206;Powiat gryfiñski;18,8;4662;3399,34;83249
3207;Powiat kamieñski;21,8;3852;3123,3;47296
3208;Powiat ko³obrzeski;11,6;8985;3311,54;79450
3209;Powiat koszaliñski;24,4;9141;3310,28;66071
3210;Powiat myœliborski;15,1;15389;3344,71;67016
3211;Powiat policki;10,6;51481;4139,86;77201
3212;Powiat pyrzycki;23,3;13898;3091,46;40055
3213;Powiat s³awieñski;22,5;10491;3057,18;57033
3214;Powiat stargardzki;17,3;20092;3328,64;120235
3215;Powiat szczecinecki;24,7;37822;3514,38;78430
3216;Powiat œwidwiñski;24,2;12138;3033,78;47727
3217;Powiat wa³ecki;16,9;15748;3336,5;54013
3218;Powiat ³obeski;25,3;6448;3289,68;37638
3261;Powiat m.Koszalin;10,3;21521;3568,03;107680
3262;Powiat m.Szczecin;9,3;13067;4176,65;404878
3263;Powiat m.Œwinoujœcie;8,3;11165;4127,79;41115
